cbsa_code,2018,2019,2020,2020.II,2020.III,2020.IV,2021.Ir,2021.IIp,Q2-Q2
10180,166.8,179.8,193.5,187.2,205,197.4,206.1,217.9,16.40%
10420,145.6,155,168.1,165.2,181.7,171.2,159.1,183.5,11.10%
10580,209.1,218.8,232.5,227.5,241.7,240.1,232.8,258.6,13.70%
10740,205.6,225,248.1,238.7,258.6,263.5,269.5,293.4,22.90%
10900,199.3,207.2,234.9,230.4,242.6,246.7,241.7,265.8,15.40%
11100,158.6,165.1,183.5,185.9,192.3,186.6,192.5,204.8,10.20%
11244,820,825,900,859,910,935,1000,1109.5,29.20%
11460,281,294.7,312.4,329.4,323.4,297.8,313.9,373.9,13.50%
11540,175.3,189.2,202.8,202.4,210.7,210.8,210.5,243,20.10%
12060,219.9,233.2,260.8,250.5,271.8,275.2,279.3,315,25.70%
12100,192.8,210.2,247.2,229.5,258.6,278.3,277.2,287.7,25.40%
12420,315.9,329.2,367.1,355,373.2,386,437.9,515.1,45.10%
12580,285.6,299.4,328.5,324.7,342,338,329.8,369.1,13.70%
12700,411.1,430,494.6,455.3,521.7,557.3,567.6,627.4,37.80%
12940,210.6,216.4,229.7,224.6,234.4,237.3,240.3,250.8,11.70%
13140,154.6,168.7,180.3,176.6,189,188.6,188.1,202.7,14.80%
13780,121.1,119.4,127.7,112.2,133.5,139.6,129.1,141.1,25.80%
13820,207.3,221.6,246.2,246.9,254.5,246.5,254.3,277.2,12.30%
13900,245.1,250.7,261.4,257.8,265.8,264.3,258.4,277.7,7.70%
14010,162.7,158.7,165.9,169.8,170.6,164.2,160.2,184,8.40%
14260,263.5,294.2,353.9,332.8,365.6,381.3,422.6,469.1,41.00%
14460,477.4,491.9,563.7,549,588.1,579.1,582.7,663.3,20.80%
14500,607.4,618.6,645.9,606.7,673.4,661.3,726.6,835.2,37.70%
14540,171.3,186.6,198.7,200.4,203.1,209.9,214,243.5,21.50%
14860,451.5,445.6,544,494.6,591.4,578.1,580.4,678.2,37.10%
15380,152.8,160.9,178.5,169.9,190.8,188.5,176.1,206.1,21.30%
15540,293.5,308.3,342.9,333,348.7,361.6,341.6,381.1,14.40%
15940,131.9,139.4,155.4,153.9,165.9,154.9,146.9,172,11.80%
15980,251,258.7,289,265.5,290,312,335.8,360,35.60%
16020,138.1,154.7,169.3,158,180.9,168.9,182.4,188.3,19.20%
16300,159.2,165.6,173.1,175.9,178.8,173.7,168.6,188.4,7.10%
