cbsa_code,AREA_TITLE,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
20100,"Dover, DE",*,*,*,*,*
20220,"Dubuque, IA",*,*,*,*,*
35380,"New Orleans-Metairie, LA",*,*,*,*,*
46340,"Tyler, TX",*,*,*,*,*
75700,"New Haven, CT",*,*,*,*,*
41860,"San Francisco-Oakland-Hayward, CA","76,160","95,430","123,520","152,760","173,880"
10740,"Albuquerque, NM","83,970","103,750","120,950","143,700","163,940"
41940,"San Jose-Sunnyvale-Santa Clara, CA","77,630","94,920","119,830","155,630","185,720"
41500,"Salinas, CA","62,350","85,670","118,850","137,830","158,180"
26820,"Idaho Falls, ID","56,870","80,600","113,950","146,530","170,990"
13140,"Beaumont-Port Arthur, TX","67,010","88,030","112,710","145,300","183,920"
33260,"Midland, TX","71,100","88,360","112,570","148,140","180,270"
17660,"Coeur d'Alene, ID","62,260","79,120","111,990","124,850","150,380"
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV","72,150","86,580","109,360","140,680","170,800"
19460,"Decatur, AL","69,600","83,870","109,110","125,370","137,800"
42220,"Santa Rosa, CA","69,970","85,240","108,700","131,350","156,340"
18700,"Corvallis, OR","75,740","92,070","108,190","133,360","153,060"
12260,"Augusta-Richmond County, GA-SC","67,720","85,970","107,930","150,130","185,890"
28420,"Kennewick-Richland, WA","68,180","84,820","107,420","135,060","158,550"
42100,"Santa Cruz-Watsonville, CA","66,940","86,860","106,960","138,940","159,840"
11260,"Anchorage, AK","59,800","74,630","103,670","131,120","158,220"
31080,"Los Angeles-Long Beach-Anaheim, CA","67,760","80,160","103,110","131,090","163,030"
39820,"Redding, CA","64,770","88,500","102,950","121,520","148,940"
16860,"Chattanooga, TN-GA","68,290","82,910","102,320","118,270","133,060"
21820,"Fairbanks, AK","75,240","88,020","102,310","115,790","151,930"
15680,"California-Lexington Park, MD","67,530","77,180","102,220","125,190","151,740"
44100,"Springfield, IL","72,320","86,000","102,180","123,740","146,500"
19300,"Daphne-Fairhope-Foley, AL","65,030","76,990","102,130","149,270","161,160"
29340,"Lake Charles, LA","55,910","74,300","102,100","151,370","194,290"
42200,"Santa Maria-Santa Barbara, CA","63,550","76,980","101,990","135,440","163,730"
37460,"Panama City, FL","62,270","76,610","101,710","118,610","118,620"
42660,"Seattle-Tacoma-Bellevue, WA","66,120","78,460","101,380","126,100","148,160"
10580,"Albany-Schenectady-Troy, NY","66,820","79,450","101,370","124,320","146,240"
37100,"Oxnard-Thousand Oaks-Ventura, CA","65,840","82,010","101,340","124,180","143,030"
12540,"Bakersfield, CA","65,850","76,200","101,290","127,380","148,990"
71650,"Boston-Cambridge-Nashua, MA-NH","68,700","80,720","101,030","129,600","156,830"
12940,"Baton Rouge, LA","73,870","88,200","100,450","123,410","159,340"
18580,"Corpus Christi, TX","64,360","86,390","100,270","126,070","156,900"
26420,"Houston-The Woodlands-Sugar Land, TX","62,770","77,420","99,860","128,400","163,770"
12580,"Baltimore-Columbia-Towson, MD","65,160","77,730","99,840","128,960","163,270"
28940,"Knoxville, TN","64,500","77,610","99,780","135,550","174,370"
13380,"Bellingham, WA","69,450","79,550","99,710","128,590","155,160"
38060,"Phoenix-Mesa-Scottsdale, AZ","63,430","77,990","99,370","123,540","145,720"
19500,"Decatur, IL","64,140","85,040","99,020","124,850","153,380"
40900,"Sacramento--Roseville--Arden-Arcade, CA","66,850","78,380","98,880","122,820","144,160"
41740,"San Diego-Carlsbad, CA","63,740","77,570","98,640","121,830","138,530"
70900,"Barnstable Town, MA","83,840","89,460","98,280","125,390","173,530"
11100,"Amarillo, TX","67,140","77,460","98,190","128,490","159,930"
37340,"Palm Bay-Melbourne-Titusville, FL","65,560","77,240","98,010","120,960","144,240"
27740,"Johnson City, TN","55,960","75,190","97,960","133,810","170,790"
25060,"Gulfport-Biloxi-Pascagoula, MS","59,940","71,330","97,910","118,620","135,620"
27140,"Jackson, MS","62,800","76,300","97,660","118,800","130,950"
11460,"Ann Arbor, MI","59,930","73,820","97,550","123,060","143,430"
35620,"New York-Newark-Jersey City, NY-NJ-PA","61,190","75,590","97,530","123,730","148,260"
26620,"Huntsville, AL","61,530","76,790","97,430","121,610","152,470"
19060,"Cumberland, MD-WV","55,140","76,420","97,360","111,040","130,250"
18880,"Crestview-Fort Walton Beach-Destin, FL","59,310","74,840","97,310","117,950","136,180"
14020,"Bloomington, IN","57,360","72,770","96,810","130,530","184,180"
19740,"Denver-Aurora-Lakewood, CO","63,740","75,330","96,560","127,850","171,240"
24540,"Greeley, CO","71,250","83,750","95,680","104,810","110,620"
71950,"Bridgeport-Stamford-Norwalk, CT","67,200","80,160","95,580","114,140","141,520"
28700,"Kingsport-Bristol-Bristol, TN-VA","65,070","77,210","95,480","117,650","146,500"
73450,"Hartford-West Hartford-East Hartford, CT","67,410","78,420","94,800","112,370","136,480"
77200,"Providence-Warwick, RI-MA","63,070","72,460","94,670","126,720","143,450"
19820,"Detroit-Warren-Dearborn, MI","67,080","77,170","94,420","117,130","136,120"
47380,"Waco, TX","60,530","74,070","94,290","120,270","147,740"
