,cbsa_code,2018,2019,2020,2020.II,2020.III,2020.IV,2021.Ir,2021.IIp,Q2-Q2,AREA_TITLE,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90
0,10180,166.8,179.8,193.5,187.2,205,197.4,206.1,217.9,16.4,Abilene TX,62270,69980,78120,92120,106530
1,10420,145.6,155,168.1,165.2,181.7,171.2,159.1,183.5,11.1,Akron OH,55480,68040,83340,104240,130000
2,10580,209.1,218.8,232.5,227.5,241.7,240.1,232.8,258.6,13.7,Albany-Schenectady-Troy NY,66820,79450,101370,124320,146240
3,10740,205.6,225,248.1,238.7,258.6,263.5,269.5,293.4,22.9,Albuquerque NM,83970,103750,120950,143700,163940
4,10900,199.3,207.2,234.9,230.4,242.6,246.7,241.7,265.8,15.4,Allentown-Bethlehem-Easton PA-NJ,58900,69410,81850,102080,126100
5,11100,158.6,165.1,183.5,185.9,192.3,186.6,192.5,204.8,10.2,Amarillo TX,67140,77460,98190,128490,159930
6,11460,281,294.7,312.4,329.4,323.4,297.8,313.9,373.9,13.5,Ann Arbor MI,59930,73820,97550,123060,143430
7,11540,175.3,189.2,202.8,202.4,210.7,210.8,210.5,243,20.1,Appleton WI,60240,68730,77860,92080,107350
8,12060,219.9,233.2,260.8,250.5,271.8,275.2,279.3,315,25.7,Atlanta-Sandy Springs-Roswell GA,61870,72250,87060,107400,134390
9,12420,315.9,329.2,367.1,355,373.2,386,437.9,515.1,45.1,Austin-Round Rock TX,65100,74900,90050,107960,135240
10,12580,285.6,299.4,328.5,324.7,342,338,329.8,369.1,13.7,Baltimore-Columbia-Towson MD,65160,77730,99840,128960,163270
11,12940,210.6,216.4,229.7,224.6,234.4,237.3,240.3,250.8,11.7,Baton Rouge LA,73870,88200,100450,123410,159340
12,13140,154.6,168.7,180.3,176.6,189,188.6,188.1,202.7,14.8,Beaumont-Port Arthur TX,67010,88030,112710,145300,183920
13,13780,121.1,119.4,127.7,112.2,133.5,139.6,129.1,141.1,25.8,Binghamton NY,48950,61860,80300,104870,135520
14,13820,207.3,221.6,246.2,246.9,254.5,246.5,254.3,277.2,12.3,Birmingham-Hoover AL,56900,69900,90310,121100,159700
15,13900,245.1,250.7,261.4,257.8,265.8,264.3,258.4,277.7,7.7,Bismarck ND,66280,76320,92510,112810,133750
16,14010,162.7,158.7,165.9,169.8,170.6,164.2,160.2,184,8.4,Bloomington IL,41530,55860,70120,87170,110160
17,14260,263.5,294.2,353.9,332.8,365.6,381.3,422.6,469.1,41,Boise City ID,49100,69540,88630,109890,132830
18,14500,607.4,618.6,645.9,606.7,673.4,661.3,726.6,835.2,37.7,Boulder CO,54010,72570,94130,115880,159650
19,14540,171.3,186.6,198.7,200.4,203.1,209.9,214,243.5,21.5,Bowling Green KY,44690,54190,68580,80840,97300
20,15380,152.8,160.9,178.5,169.9,190.8,188.5,176.1,206.1,21.3,Buffalo-Cheektowaga-Niagara Falls NY,52720,63220,79870,99750,117690
21,15940,131.9,139.4,155.4,153.9,165.9,154.9,146.9,172,11.8,Canton-Massillon OH,47230,59820,75760,94000,109040
22,15980,251,258.7,289,265.5,290,312,335.8,360,35.6,Cape Coral-Fort Myers FL,28170,31570,64090,107750,127990
23,16300,159.2,165.6,173.1,175.9,178.8,173.7,168.6,188.4,7.1,Cedar Rapids IA,66280,75520,91730,113670,137820
24,16580,150.9,157.1,168.6,171.2,175.3,171.5,161.1,183.7,7.3,Champaign-Urbana IL,43990,49690,73440,97800,123100
25,16700,283,293.5,324.4,303.6,337.1,339.3,353.5,378.5,24.7,Charleston-North Charleston SC,50690,67190,91930,116700,134240
26,16620,136.6,137.6,147.5,141.8,153.7,154.3,147.7,161.7,14,Charleston WV,27450,31220,92430,114930,130300
27,16740,241.5,258.6,296.2,286.9,309.7,312,320.7,352.6,22.9,Charlotte-Concord-Gastonia NC-SC,53580,67220,80810,100990,127100
28,16860,185.7,193.3,220.1,213.5,228.7,233.6,232.3,255.1,19.5,Chattanooga TN-GA,68290,82910,102320,118270,133060
29,16980,259.4,265.1,287.6,282.9,299,292.1,303.5,348.6,23.2,Chicago-Naperville-Elgin IL-IN-WI,57700,70870,88480,111290,135600
30,17140,174.3,185.6,208.9,203.5,222.9,216,212.4,254.3,25,Cincinnati OH-KY-IN,54850,68480,86660,106140,132080
31,17460,153.3,164.1,179.5,177.3,187.9,187.1,175.6,204.6,15.4,Cleveland-Elyria OH,56040,66160,80340,98910,119770
32,17820,312.2,320.5,361.7,353.4,371.9,371.3,387.5,439.2,24.3,Colorado Springs CO,55590,68520,91570,112770,155840
33,17860,189.3,206.4,225.4,221.9,234.5,229,239.8,258.7,16.6,Columbia MO,53540,65410,77440,92740,103880
34,17900,171.6,185,202.9,199.1,210.6,213.1,214.9,234.5,17.8,Columbia SC,44160,54510,73720,97740,120320
35,18140,201.8,216.6,240.8,240.4,252.1,246.4,242,282.4,17.5,Columbus OH,56380,68050,83030,102200,126570
36,18580,194.3,201.1,225.4,220.6,234.7,234,240.7,253.9,15.1,Corpus Christi TX,64360,86390,100270,126070,156900
37,18880,281,285.7,339.9,318,375,360,360,389.5,22.5,Crestview-Fort Walton Beach-Destin FL,59310,74840,97310,117950,136180
38,19060,100.5,106.7,120.9,123.3,124.8,124.3,121.3,128.6,4.3,Cumberland MD-WV,55140,76420,97360,111040,130250
39,19100,260,268.6,287.2,280.9,294.2,296.9,300,338.7,20.6,Dallas-Fort Worth-Arlington TX,64130,75840,93870,123860,159330
40,19340,131,135.4,142.8,143.3,148.5,149.2,140.6,156.8,9.4,Davenport-Moline-Rock Island IA-IL,54930,63420,81230,101300,124750
41,19380,148.4,157.8,175.8,175.6,184.4,180.9,172.8,204.7,16.6,Dayton OH,58310,71640,90270,110840,129490
42,19460,142.4,154,175.2,165.6,186.9,184.5,184.2,195.2,17.9,Decatur AL,69600,83870,109110,125370,137800
43,19500,90.8,96.5,102.2,105.5,109.9,100.9,102.4,116.2,10.1,Decatur IL,64140,85040,99020,124850,153380
44,19660,209.9,225,244.9,237.6,250,255,269,285,19.9,Deltona-Daytona Beach-Ormond Beach FL,53560,66630,82830,106470,129180
45,19740,449.9,462.1,492.7,478.4,506,512.5,554.4,618.6,29.3,Denver-Aurora-Lakewood CO,63740,75330,96560,127850,171240
46,19780,204.8,214.5,229.6,226,237.4,236.7,241.9,258.9,14.6,Des Moines-West Des Moines IA,52250,61360,75610,92070,109530
47,19820,183.3,195.8,221.3,215.3,236.3,226.5,216.8,256.3,19,Detroit-Warren-Dearborn MI,67080,77170,94420,117130,136120
49,20500,279,295.9,326.3,317.7,341.3,340,351.1,400.2,26,Durham-Chapel Hill NC,67260,75140,89290,105510,133710
50,21300,111.2,112.5,120.4,128.4,126.7,126.4,126.9,141.8,10.4,Elmira NY,68190,77290,90000,101670,119490
51,21340,155.8,164.4,177.8,171.1,182.9,186.1,189,196.8,15,El Paso TX,41770,49250,66940,97200,111570
52,21500,118.7,125.3,135.1,130.6,140.2,138.2,127.5,147,12.6,Erie PA,47120,57000,68880,81880,101610
53,21660,291.7,308.6,354.9,338.6,363,370.4,379.1,421.8,24.6,Eugene OR,55760,64810,77020,97840,119490
54,22020,217.5,221,233.5,229.6,235.1,244.3,236.2,263.9,14.9,Fargo ND-MN,52480,61820,75950,94240,118780
55,22180,137.1,144.4,163.2,158,169.9,172.4,172.9,191.5,21.2,Fayetteville NC,61120,76060,94030,103670,121600
56,22220,188.7,203,226.3,221,236.9,233.8,242.2,265.4,20.1,Fayetteville-Springdale-Rogers AR-MO,51960,59500,72680,92680,118670
57,22500,143.2,146.1,166.5,161.3,173.7,177.6,167,183,13.5,Florence SC,43070,50510,62070,88790,110230
58,22540,138.6,145.7,157.4,147.1,170.8,171.9,162.9,191.1,29.9,Fond du Lac WI,52730,55710,60660,68400,77700
59,22660,407,420.8,446,437,453.2,456.7,469.2,508.5,16.4,Fort Collins CO,53000,64660,81610,110220,132090
60,23060,143.3,155.3,169.3,168,176,173.6,174.3,188.8,12.4,Fort Wayne IN,52420,60870,75880,98980,152060
61,23420,270,281.6,314,300,322,328,340,365,21.7,Fresno CA,56610,66580,84780,108280,144280
62,23540,230,240,255,250,258,260,280,300,20,Gainesville FL,45750,58080,78570,112180,131300
63,24020,169.5,182,200.1,197.1,209.2,211.8,214.6,232.9,18.2,Glens Falls NY,57610,69600,83570,102970,123960
64,24340,194.6,210.5,230.1,226.3,238.5,232.8,242.1,278.3,23,Grand Rapids-Wyoming MI,54880,63540,78650,96440,110340
65,24580,177.3,189.4,204.2,200.3,216.4,207.6,216.9,237.3,18.5,Green Bay WI,54770,68090,82590,102990,124680
66,24660,164.1,176.2,199.2,198.1,208.3,207.3,207.4,229.9,16.1,Greensboro-High Point NC,52490,65450,82490,102090,130900
67,24860,213.3,223.3,240.9,236.8,246.4,252.2,256.3,276.3,16.7,Greenville-Anderson-Mauldin SC,51370,66850,89500,113180,139690
68,25060,139.3,151.7,171.3,165.1,173.5,189.1,179.4,193.6,17.3,Gulfport-Biloxi-Pascagoula MS,59940,71330,97910,118620,135620
69,25180,181.7,191.3,215.4,211.9,223.2,224.5,226.2,240.6,13.5,Hagerstown-Martinsburg MD-WV,53240,61320,80020,111490,133690
70,25420,173.7,180.6,195.8,194.4,203.4,203,188.6,222,14.2,Harrisburg-Carlisle PA,59110,70560,87360,105150,125200
71,26420,238.8,245.8,263.8,256.3,271.6,273.7,281.8,307.2,19.9,Houston-The Woodlands-Sugar Land TX,62770,77420,99860,128400,163770
72,26620,205.4,223.5,248,238.9,248.7,252.8,254.2,272.8,14.2,Huntsville AL,61530,76790,97430,121610,152470
73,26900,187.1,200.1,227.6,225.3,237.3,232.4,232.4,261.7,16.2,Indianapolis-Carmel-Anderson IN,53880,67670,84190,108690,153750
74,27140,176.5,179.3,198.8,197.2,204.7,207.5,207.8,221.3,12.2,Jackson MS,62800,76300,97660,118800,130950
75,27260,247,225.7,279,271.3,288,290,290,320,18,Jacksonville FL,53790,61510,73550,95900,121740
76,28140,206.5,219.4,237.4,237.8,246.8,248.5,258.1,286.7,20.6,Kansas City MO-KS,58720,69620,80540,99430,122230
77,28420,276.9,299.8,328.5,320,333.3,344.6,353.4,376.2,17.6,Kennewick-Richland WA,68180,84820,107420,135060,158550
78,28740,221.2,240.9,285.6,276.1,312.1,313.1,303.1,338.3,22.5,Kingston NY,59950,76630,93080,103430,109790
79,28940,188.8,205.2,229.8,218.9,238.7,246.1,248.9,271.9,24.2,Knoxville TN,64500,77610,99780,135550,174370
80,29460,196,210,230,223.2,232,240,246,261,16.9,Lakeland-Winter Haven FL,50230,60440,78910,116210,131660
81,29620,149.3,159.5,173.3,174.1,180.8,176.4,173.1,187.3,7.6,Lansing-East Lansing MI,57850,70760,87330,105540,129170
82,29820,288.8,306,331,317.8,339,343.5,360.8,390,22.7,Las Vegas-Henderson-Paradise NV,65270,76680,90950,103370,122870
83,30460,171.2,180,201.2,199.1,211.2,206,209.9,218.3,9.6,Lexington-Fayette KY,57270,70140,85950,105150,129270
84,30700,189,198.4,219.8,215.3,229.9,227.6,229.9,243.9,13.3,Lincoln NE,31320,59380,78590,99210,116070
85,30780,146.4,152.5,166.9,164.9,171.3,173.6,171.9,184.5,11.9,Little Rock-North Little Rock-Conway AR,42950,51840,73500,93150,105010
86,31140,180.1,192.7,212.1,208.1,224,219.3,213.9,235.4,13.1,Louisville/Jefferson County KY-IN,53770,66610,81240,104950,127080
87,31540,283.7,299.2,326.4,329.5,330.8,331.4,347.2,369.2,12,Madison WI,61110,72780,88250,105230,126980
88,32820,177.9,188.7,221.2,220,232.9,229.1,221.6,251,14.1,Memphis TN-MS-AR,54600,67330,83550,100170,114770
